iter	Passed	Remaining
399	35098	52648
400	35194	52572
401	35289	52494
402	35378	52409
403	35473	52331
404	35569	52256
405	35663	52177
406	35751	52089
407	35842	52007
408	35972	51980
409	36066	51901
410	36160	51821
411	36244	51728
412	36335	51643
413	36427	51562
414	36519	51479
415	36615	51401
416	36704	51315
417	36790	51224
418	36877	51136
419	36973	51059
420	37064	50974
421	37153	50887
422	37244	50804
423	37337	50721
424	37429	50639
425	37525	50562
426	37615	50476
427	37707	50393
428	37803	50316
429	37899	50238
430	37988	50152
431	38078	50066
432	38174	49988
433	38265	49903
434	38353	49815
435	38445	49732
436	38538	49650
437	38638	49577
438	38712	49470
439	38790	49369
440	38860	49258
441	38945	49166
442	39034	49079
443	39126	48996
444	39215	48909
445	39311	48830
446	39410	48755
447	39499	48669
448	39591	48585
449	39683	48501
450	39782	48426
451	39876	48346
452	39970	48264
453	40073	48194
454	40169	48115
455	40261	48030
456	40362	47957
457	40458	47878
458	40553	47798
459	40655	47725
460	40745	47639
461	40844	47563
462	40936	47479
463	41023	47389
464	41111	47300
465	41197	47208
466	41292	47127
467	41386	47045
468	41481	46965
469	41581	46889
470	41667	46798
471	41764	46719
472	41855	46634
473	41949	46551
474	42041	46467
475	42138	46387
476	42230	46303
477	42326	46222
478	42408	46126
479	42503	46045
480	42598	45963
481	42700	45889
482	42796	45809
483	42892	45728
484	42988	45647
485	43073	45554
486	43149	45453
487	43194	45318
488	43250	45196
489	43305	45073
490	43351	44940
491	43397	44808
492	43448	44681
493	43498	44554
494	43549	44428
495	43601	44304
496	43649	44176
497	43703	44054
498	43797	43973
499	43869	43869
500	43919	43744
501	43969	43618
502	44015	43490
503	44060	43361
504	44118	43245
505	44205	43157
506	44252	43030
507	44317	42921
508	44408	42838
509	44497	42752
510	44593	42673
511	44685	42590
512	44775	42506
513	44867	42423
514	44959	42340
515	45060	42265
516	45162	42192
517	45253	42108
518	45344	42024
519	45433	41938
520	45543	41871
521	45640	41793
522	45731	41708
523	45828	41630
524	45921	41548
525	46018	41469
526	46111	41386
527	46202	41301
528	46294	41218
529	46386	41135
530	46482	41055
531	46576	40973
532	46672	40893
533	46765	40809
534	46859	40728
535	46949	40642
536	47036	40555
537	47142	40483
538	47233	40398
539	47331	40319
540	47424	40236
541	47515	40151
542	47606	40067
543	47699	39983
544	47792	39899
545	47897	39826
546	47997	39749
547	48091	39666
548	48188	39586
549	48284	39505
550	48360	39408
551	48428	39304
552	48509	39211
553	48605	39129
554	48702	39049
555	48795	38966
556	48890	38883
557	48989	38805
558	49078	38718
559	49168	38632
560	49278	38562
561	49363	38472
562	49460	38390
563	49549	38303
564	49646	38223
565	49738	38138
566	49828	38052
567	49917	37965
568	50009	37880
569	50103	37797
570	50192	37710
571	50285	37626
572	50372	37537
573	50460	37449
574	50546	37360
575	50645	37280
576	50737	37195
577	50826	37108
578	50922	37026
579	51012	36940
580	51106	36856
581	51195	36769
582	51292	36687
583	51396	36611
584	51472	36514
585	51535	36409
586	51594	36300
587	51672	36205
588	51759	36117
589	51851	36032
590	51950	35951
591	52042	35867
592	52135	35782
593	52230	35699
594	52323	35615
595	52413	35528
596	52507	35445
597	52601	35360
598	52693	35275
599	52789	35192
600	52880	35107
601	52977	35025
602	53072	34941
603	53161	34854
604	53245	34763
605	53336	34677
606	53432	34594
607	53527	34510
608	53621	34427
609	53717	34344
610	53805	34255
611	53891	34166
612	53983	34081
613	54073	33994
614	54166	33909
615	54255	33821
616	54361	33744
617	54454	33659
618	54545	33572
619	54633	33485
620	54729	33402
621	54823	33317
622	54910	33228
623	55007	33145
624	55096	33057
