iter	MultiClass
0	1.366556008
1	1.342609361
2	1.325067066
3	1.302684321
4	1.27932382
5	1.261114332
6	1.244058129
7	1.226387668
8	1.207593203
9	1.188797295
10	1.173794443
11	1.156746191
12	1.141582488
13	1.128163678
14	1.113192205
15	1.09999473
16	1.085398519
17	1.072591234
18	1.060385876
19	1.048531281
20	1.035935743
21	1.025346598
22	1.014471313
23	1.00373751
24	0.9954328742
25	0.9863663198
26	0.9754230623
27	0.9651943622
28	0.9551039407
29	0.9465471799
30	0.937378467
31	0.9289191438
32	0.9200058901
33	0.9104274921
34	0.9025241897
35	0.895355663
36	0.8876808175
37	0.8796696764
38	0.8716238208
39	0.8618435805
40	0.8544932765
41	0.8467281771
42	0.8397720355
43	0.8334675572
44	0.8262890571
45	0.819640134
46	0.8139987402
47	0.8072747203
48	0.8009388375
49	0.7962596842
50	0.7908051729
51	0.7848604057
52	0.7784757724
53	0.7728113773
54	0.7672699106
55	0.7619560094
56	0.7568246071
57	0.7532693949
58	0.7481551315
59	0.7437930002
60	0.738137235
61	0.7333870832
62	0.7296653986
63	0.7248142195
64	0.720517286
65	0.7153494208
66	0.7116831084
67	0.7074380002
68	0.7035259845
69	0.6992460415
70	0.6948712854
71	0.6907217979
72	0.6864684968
73	0.6811083183
74	0.6764212636
75	0.6728522668
76	0.6692279416
77	0.6659190052
78	0.6633182171
79	0.659588608
80	0.6559326882
81	0.6522155959
82	0.6487197557
83	0.6451384299
84	0.6415382968
85	0.6388395332
86	0.6354006538
87	0.6327603164
88	0.6296574748
89	0.6262108241
90	0.6237676298
91	0.620460008
92	0.6170977323
93	0.6138457354
94	0.6111439373
95	0.6087065276
96	0.6047106187
97	0.602237297
98	0.599902324
99	0.5981483795
100	0.5962254372
101	0.5934444495
102	0.5915427985
103	0.5883822279
104	0.5866091065
105	0.5837154189
106	0.5797427978
107	0.5773029604
108	0.5750463033
109	0.5728164905
110	0.5705919103
111	0.5677485903
112	0.5649020266
113	0.5624919495
114	0.5598245437
115	0.5573198459
116	0.5554623772
117	0.5527756483
118	0.5499322165
119	0.5473484685
120	0.5456872179
121	0.5435720482
122	0.5410726036
123	0.5385220909
124	0.5361764471
125	0.5335166659
126	0.5311526112
127	0.5292653607
128	0.5270830118
129	0.5246449879
130	0.5227740047
131	0.5200080245
132	0.5174303662
133	0.5158800901
134	0.5134793641
135	0.5124961958
136	0.5107150537
137	0.5080975023
138	0.5061593248
139	0.5037023188
140	0.5018483091
141	0.499486312
142	0.497260121
143	0.495796955
144	0.4937502699
145	0.4925085834
146	0.490309326
147	0.4885918233
148	0.4872798797
149	0.4853896377
150	0.4845296129
151	0.4823588811
152	0.4815190524
153	0.4795022272
154	0.4773549195
155	0.4755209626
156	0.4733024462
157	0.4712532018
158	0.4689383888
159	0.4668673203
160	0.4643303055
161	0.4627145415
162	0.4614726304
163	0.4600907118
164	0.4579550507
165	0.4559516225
166	0.4540119225
167	0.4523024173
168	0.4500752155
169	0.4482068119
170	0.447480733
171	0.4460594138
172	0.4446446765
173	0.4422567883
174	0.4404792582
175	0.4390612212
176	0.4369715179
177	0.4356954029
178	0.4342927387
179	0.4328446971
180	0.4317002708
181	0.4303676338
182	0.4293384486
183	0.4281349199
184	0.4265616743
185	0.4250137076
186	0.4231131453
187	0.4216388495
188	0.4204565963
189	0.4190457536
190	0.4179353565
191	0.4168961059
192	0.4154883408
193	0.4140411916
194	0.4127180374
195	0.4113154354
196	0.4095825894
197	0.4077511153
198	0.4061174623
199	0.4049087552
200	0.4034250268
201	0.4016699451
202	0.4005750624
203	0.3990911016
204	0.3973563564
205	0.3956076412
206	0.3945643435
207	0.3933270752
208	0.391876082
209	0.3909291058
210	0.3902266402
211	0.3885233642
212	0.3870968905
213	0.3854673063
214	0.3836634044
215	0.3823131182
216	0.3809268908
217	0.3794915355
218	0.3778603005
219	0.376582045
220	0.375248712
221	0.373876044
222	0.3728289657
223	0.3715802032
224	0.3700540542
225	0.3690427603
226	0.3675726772
227	0.366252284
228	0.3648410794
229	0.3639292821
230	0.3626272368
231	0.361164018
232	0.3601262215
233	0.3588137403
234	0.3574555229
235	0.3567832595
236	0.3554047307
237	0.3542931985
238	0.3530144503
239	0.3520067662
240	0.3507691629
241	0.3496151839
242	0.3484054427
243	0.347188547
244	0.3458391997
245	0.3449321232
246	0.3439336952
247	0.3432080247
248	0.3422837234
249	0.3413493702
250	0.3401270737
251	0.3390045463
252	0.3375140008
253	0.3366189542
254	0.3349765117
255	0.3343818137
256	0.3332924703
257	0.3329011837
258	0.3319274244
259	0.3313076629
260	0.3301817997
261	0.3288859434
262	0.3283649234
263	0.3273119054
264	0.3265318104
265	0.325303478
266	0.3239149148
267	0.3229174924
268	0.3217677557
269	0.3209411995
270	0.3197631385
271	0.3188397064
272	0.3174504046
273	0.3162592656
274	0.3154896793
275	0.3142683831
276	0.3132412856
277	0.3122043475
278	0.3110418558
279	0.3100281283
280	0.3087853674
281	0.307728807
282	0.3064756929
283	0.3053725785
284	0.3044838385
285	0.3034931007
286	0.3027208176
287	0.3018876822
288	0.3009682959
289	0.2999525567
290	0.2989006794
291	0.2977862256
292	0.2969691739
293	0.2961071174
294	0.2952756646
295	0.2944219615
296	0.2936897293
297	0.2930919242
298	0.2919656678
299	0.2910939734
300	0.2901056986
301	0.289396357
302	0.2889072254
303	0.2878710966
304	0.2869048152
305	0.2861455965
306	0.2853895943
307	0.2846023532
308	0.2834333345
309	0.2824285713
310	0.2815976458
311	0.280885713
312	0.2802165127
313	0.2791849363
314	0.2786052753
315	0.2777059696
316	0.2768165723
317	0.2762549936
318	0.2753588048
319	0.2746215607
320	0.2741361149
321	0.2731803246
322	0.2723185692
323	0.2715386994
324	0.2706288278
325	0.2703078346
326	0.2698822991
327	0.2690255301
328	0.2682972438
329	0.2675083777
330	0.2667865208
331	0.265648039
332	0.2649849742
333	0.2644941535
334	0.2637162393
335	0.2631608718
336	0.2621805532
337	0.2613208225
338	0.2607432627
339	0.259821812
340	0.2593810026
341	0.2586516624
342	0.2578726972
343	0.2569622279
344	0.256180759
345	0.2552032243
346	0.2547484043
347	0.2539947435
348	0.2535473857
349	0.252772976
350	0.2520753384
351	0.2514527336
352	0.2508748435
353	0.2499011189
354	0.249108252
355	0.2484653672
356	0.248021816
357	0.2474176245
358	0.2470052433
359	0.2464359927
360	0.2460327004
361	0.2453764036
362	0.2449116482
363	0.2442085551
364	0.2436011527
365	0.2431088419
366	0.2426514549
367	0.2419975075
368	0.2415777904
369	0.2411998905
370	0.2408539984
371	0.240319746
372	0.2396852407
373	0.2390161237
374	0.2385926101
375	0.2378897062
376	0.2369464747
377	0.2363857224
378	0.2355413902
379	0.2350384038
380	0.2345834165
381	0.2338911016
382	0.2333583156
383	0.2327519848
384	0.2322595839
385	0.2318624013
386	0.2313776604
387	0.2307128114
388	0.2304753309
389	0.2300546971
390	0.2294588755
391	0.2290487305
392	0.2285228206
393	0.2279258228
394	0.2274028875
395	0.2267158702
396	0.2261808032
397	0.2256117526
398	0.225321389
399	0.2246798003
400	0.2240764372
401	0.2236752862
